NPG,NPxG,NPxG90,NPxG90xA90,a,apps,goals,id,min,number,player,team,xA,xA90,xG,xG90,xG90xA90,xGBuildup,xGBuildup90,xGChain,xGChain90
0,0.25744552444666624,0.04857462725408797,0.2042983435445799,1,8,0,7166,477,274,Mathias Jensen,Brentford,0.8253356963396072,0.15572371629049192,0.25744552444666624,0.04857462725408797,0.2042983435445799,1.8812717255204916,0.354956929343489,2.871735790744424,0.5418369416498913
0,0.029214464128017426,0.005248107328386364,0.03773231895830103,0,8,0,7198,501,275,Oliver Skipp,Leicester,0.18082877807319164,0.03248421162991467,0.029214464128017426,0.005248107328386364,0.03773231895830103,0.77383869048208,0.1390129384099545,0.9838819280266762,0.17674525653173823
0,0.0,0.0,0.0,0,2,0,7235,180,276,Jason Steele,Brighton,0.0,0.0,0.0,0.0,0.0,0.4078828990459442,0.2039414495229721,0.4078828990459442,0.2039414495229721
0,0.0,0.0,0.0,0,2,0,7240,119,277,Benoit Badiashile Mukinayi,Chelsea,0.0,0.0,0.0,0.0,0.0,0.3887842744588852,0.29403852690167787,0.3887842744588852,0.29403852690167787
0,0.7182052861899137,0.06161913799532148,0.18514405142292167,1,12,0,7281,1049,278,Diogo Dalot,Manchester United,1.4397514909505844,0.12352491342760019,0.7182052861899137,0.06161913799532148,0.18514405142292167,4.074099726974964,0.3495414446403687,5.388769842684269,0.4623348768747228
0,0.11389949358999729,0.015052796509691272,0.06944913655059978,1,9,0,7298,681,279,Ben White,Arsenal,0.41159897297620773,0.054396340040908514,0.11389949358999729,0.015052796509691272,0.06944913655059978,1.9552976004779339,0.2584093745125023,2.0501031391322613,0.2709387408544839
0,1.1399784162640572,0.08769064740492748,0.11194500527702846,1,13,0,7332,1170,280,Max Kilman,West Ham,0.3153066523373127,0.024254357872100975,1.1399784162640572,0.08769064740492748,0.11194500527702846,2.651965744793415,0.20399736498410886,2.958656959235668,0.22758899686428216
0,0.33432834409177303,0.03990656627090129,0.03990656627090129,0,9,0,7333,754,281,Caleb Okoli,Leicester,0.0,0.0,0.33432834409177303,0.03990656627090129,0.03990656627090129,2.125499866902828,0.2537068806647938,2.144199699163437,0.25593895613356676
0,0.05885176360607147,0.02060956702158145,0.05494708354776935,0,5,0,7352,257,282,Tyler Adams,Bournemouth,0.09805268608033657,0.034337516526187904,0.05885176360607147,0.02060956702158145,0.05494708354776935,0.9512443505227566,0.3331205896772299,1.0695375427603722,0.3745462212001303
0,0.7322981357574463,0.06102484464645386,0.07012543672074874,0,12,0,7382,1080,283,Dan Burn,Newcastle United,0.10920710489153862,0.009100592074294886,0.7322981357574463,0.06102484464645386,0.07012543672074874,3.796283610165119,0.3163569675137599,3.864399738609791,0.3220333115508159
0,0.29766908288002014,0.26009919863302733,0.364285330604581,0,5,0,7420,103,284,Miguel Almirón,Newcastle United,0.11923523992300034,0.10418613197155369,0.29766908288002014,0.26009919863302733,0.364285330604581,0.141879603266716,0.12397246887382951,0.43954867124557495,0.3840716544864247
0,0.06381696462631226,0.022882576957641846,0.028461568703155117,0,4,0,7438,251,285,James Garner,Everton,0.015559188090264797,0.005578991745513274,0.06381696462631226,0.022882576957641846,0.028461568703155117,0.14198049157857895,0.05090933960984902,0.15876759588718414,0.056928620039229376
0,0.0,0.0,0.0,0,1,0,7546,5,286,Harvey Elliott,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,3,0,7582,270,287,Mark Travers,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.5100627075880766,0.17002090252935886,0.5100627075880766,0.17002090252935886
0,0.17787889018654823,0.016693535054003485,0.06425929814188647,0,11,0,7589,959,288,Wesley Fofana,Chelsea,0.5068396311253309,0.04756576308788298,0.17787889018654823,0.016693535054003485,0.06425929814188647,4.124145181849599,0.38704177931852335,4.62796176224947,0.43432383587325574
0,0.0,0.0,0.0,0,1,0,7688,10,289,Max Aarons,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.9639191627502441,8.675272464752197,0.9639191627502441,8.675272464752197
0,0.0,0.0,0.0,0,3,0,7699,83,290,Adam Webster,Brighton,0.0,0.0,0.0,0.0,0.0,0.5351234897971153,0.5802543865269926,0.5351234897971153,0.5802543865269926
0,0.010927668772637844,0.0008405899055875265,0.0008405899055875265,0,13,0,7702,1170,291,Dean Henderson,Crystal Palace,0.0,0.0,0.010927668772637844,0.0008405899055875265,0.0008405899055875265,0.6052734684199095,0.04655949757076227,0.6052734684199095,0.04655949757076227
0,1.2428402677178383,0.17341957223969837,0.36243635000184526,1,10,0,7723,645,292,John McGinn,Aston Villa,1.3546202406287193,0.18901677776214687,1.2428402677178383,0.17341957223969837,0.36243635000184526,2.4492085091769695,0.3417500245363213,4.331686794757843,0.6044214132220246
0,0.5107078030705452,0.29463911715608376,0.35041824341393435,0,4,0,7768,156,293,Mason Mount,Manchester United,0.096683818846941,0.05577912625785057,0.5107078030705452,0.29463911715608376,0.35041824341393435,0.5027349442243576,0.29003939089866787,1.0974575839936733,0.6331486061501962
0,0.5624362155795097,0.32448243206510174,0.32448243206510174,0,9,0,7814,156,294,Taiwo Awoniyi,Nottingham Forest,0.0,0.0,0.5624362155795097,0.32448243206510174,0.32448243206510174,0.16257860697805882,0.09379535017964932,0.7250148132443428,0.41827777687173623
0,0.0,0.0,0.0,0,6,0,7904,540,295,Caoimhin Kelleher,Liverpool,0.0,0.0,0.0,0.0,0.0,0.9855566918849945,0.16425944864749908,0.9855566918849945,0.16425944864749908
0,0.16684184968471527,5.005255490541458,5.005255490541458,0,1,0,7931,3,296,Takehiro Tomiyasu,Arsenal,0.0,0.0,0.16684184968471527,5.005255490541458,5.005255490541458,0.0,0.0,0.0,0.0
0,0.08350001275539398,0.011615148605850785,0.028992200376814263,0,8,0,7943,647,297,Igor Julio,Brighton,0.12492169439792633,0.017377051770963478,0.08350001275539398,0.011615148605850785,0.028992200376814263,3.6549989469349384,0.5084233465597287,3.7799206264317036,0.5258003962578877
0,0.5231800861656666,0.08884190142435848,0.1298089271481588,1,11,0,7958,530,298,Sandro Tonali,Newcastle United,0.24125026259571314,0.04096702572380034,0.5231800861656666,0.08884190142435848,0.1298089271481588,1.77877177298069,0.3020555840910606,2.2587082386016846,0.3835542291965125
0,0.08454305678606033,0.08094547990154713,0.08094547990154713,0,2,0,7988,94,299,Billy Gilmour,Brighton,0.0,0.0,0.08454305678606033,0.08094547990154713,0.08094547990154713,1.1755258962512016,1.1255035176873207,1.1755258962512016,1.1255035176873207
